Timestep,Particle_0_MSD,Particle_0_Noise_X,Particle_0_Noise_Y,Particle_1_MSD,Particle_1_Noise_X,Particle_1_Noise_Y,Particle_2_MSD,Particle_2_Noise_X,Particle_2_Noise_Y,Particle_3_MSD,Particle_3_Noise_X,Particle_3_Noise_Y,Particle_4_MSD,Particle_4_Noise_X,Particle_4_Noise_Y
49,1.4573675918399591,0.10338053760086244,-0.0688735717950528,1.0046992270404134,-0.07269489590173489,-0.2829448811064074,1.0962406909424758,-0.05539685485774473,0.13087166789222823,1.2497931463260417,-0.2072292686172439,-0.09519201402292175,1.573634951584748,0.043906855589016996,-0.22448667738927278
50,1.5402212400919448,0.014294961011538876,0.02267116863405662,1.049487063471561,0.030643883425516816,0.0003209867763497622,1.1468499473793508,-0.06928651234720118,-0.005445913946056528,1.3197500927430266,-0.04372074469478853,-0.1625781598075184,1.6618219993356564,-0.07724149910105882,0.08895412311690246
51,1.627400635294616,-0.08814249061673532,0.14041659401003964,1.0954547580941496,-0.09920435607771338,-0.05536951531354725,1.1988716275462428,-0.11488514099292882,0.02560798786660208,1.393468900646039,0.13686296220971284,-0.09990062325598564,1.745646949952337,-0.2060443037409089,0.10909666745194196
52,1.719294848493071,0.036102514514275534,0.09681026637765427,1.1425569665184385,0.03609860825370816,-0.16111694631742193,1.2522559291908848,0.21144148343087932,0.037516901405846896,1.4711583231026384,0.051467155438822965,-0.037683767949656055,1.8198629675058688,0.11131782933007082,-0.10931075606001216
53,1.8165260865117898,-0.18387767179789957,-0.08147181812341316,1.1908151330069812,0.10719653675991273,-0.07180388134051491,1.3070115757369158,-0.011149078712511215,0.1441805329015908,1.5531356059469366,-0.03615773114433937,-0.05047194101871159,1.881162176763961,-0.015703669059262963,0.18534107978998282
54,1.9196560323352096,0.0412980565525047,-0.029295461576354473,1.2402059244721464,-0.26191522050533395,-0.12905227272912906,1.3633208036785678,0.061968892161211236,-0.21308379973558758,1.639477612549404,0.11841810163672149,0.10361572611385039,1.931409609330161,0.004109638193320573,0.059793103422860774
55,2.028799564323,-0.04778523960351749,-0.11227366253686798,1.2906214519511416,0.19757358680726422,-0.10837353699401663,1.4209640690537237,0.0006964223441937533,-0.08028080349487572,1.730015573423449,0.029703947087987504,-0.12743851344689175,1.9758544267081115,0.08403568239355512,0.20361561863588415
56,2.14349744552565,0.1179913410425699,0.20700263824782758,1.3421915742822341,0.12840410068362867,-0.35388577250697595,1.4800531432010662,0.045108821250556645,-0.04667458105750463,1.8233162114426604,-0.10842437536117092,0.0122732161638273,2.0194470451898865,-0.014894729489972076,0.05086578042798411
57,2.261567320589194,-0.0390636530751352,0.01834465762181352,1.3948859473395485,-0.057479641760448376,-0.06166335598554541,1.5406036992246568,-0.07848299034326332,0.06012579620436356,1.9156070995437333,-0.14107996936270562,0.036410854424266885,2.066304178774665,-0.2184492735051809,0.027352877114176374
58,2.3846049770158464,0.009636924005999574,-0.1015628254718246,1.4487429057630499,-0.1651609596718284,-0.04471993930699835,1.6026720408292965,0.09815328752991212,0.02749127107875071,1.99842920020989,-0.1390894131258771,-0.04823415752127368,2.1188097295357973,-0.014286658534197992,-0.1689112453970845
59,2.512947883644623,-0.11647993973691224,0.01400144868756152,1.5036862302475065,0.029295183351883504,-0.12015881881405177,1.666143820616197,0.04531636040605758,0.023317952379485852,2.0571289151150367,0.10134457598837641,0.12123681179019036,2.1820655814066847,0.009427929361427936,-0.10363648841320956
60,2.6461302904373913,-0.10720580618430398,0.13023407448537613,1.5597821284631173,0.07388232834503655,0.12803323038717285,1.73107267592191,-0.044443329292291694,-0.014265419808920418,2.077083580951691,0.005504255728104343,-0.04763977606015152,2.260000575615606,0.022525845349509844,0.15790894560712077
61,2.7801922715975684,0.019490720526237577,0.10530000272987412,1.617024164042621,-0.07270995401759647,-0.01016358477290527,1.79752211626085,0.13156318621882446,-0.01448408767357999,2.0574294772393564,0.11230531975264631,0.03872673004345302,2.348219546677411,-0.10396290784189188,-0.001631721234602282
62,2.9027368147006145,0.08105779203300051,0.09007077190419958,1.6753953173001264,-0.09182033728509938,0.0640960799203096,1.8655454504157694,0.06652715062900945,-0.1021062998206856,2.0094058298784145,-0.031861624222723955,-0.14561120964789684,2.4360747930958944,0.06696226323802841,0.06650224694439737
63,2.9929389039781547,0.12571027806551946,0.03369343301440521,1.734860531429062,-0.1266896712926594,0.043866796255826,1.935129246676109,0.17015660700528568,-0.003631593341592001,1.944080986555495,-0.00022126694705621662,0.15680050310433194,2.5194444549171826,-0.09703839817512533,0.17275520426206817
64,3.05039237965345,0.14072381367677636,-0.022809323199703423,1.795455305828273,-0.08526850162328398,0.019128826013625273,2.0064931670555266,0.18208718101234742,0.04312998130637163,1.869342855913077,0.0539401988209408,0.12227986359705562,2.6021803271925084,0.04725573993838225,-0.07809697071601543
65,3.0936554178675446,0.037448557759128566,-0.04089418892412716,1.8571752050094048,-0.03651826162937345,-0.050324365530168114,2.0799746834570927,0.10475136370876287,-0.28529435035996537,1.7902012011653061,-0.030867740967478286,0.15449847953823662,2.6879272974318957,0.0517230050277387,0.12668472405671247
66,3.127517558656056,0.015773520761168097,0.03090069327743483,1.919980653329413,-0.02682981770580552,0.017454305995310237,2.155470820799316,-0.15736295710417975,0.008134888334676437,1.7103800256982262,0.04768135950246047,-0.048984194200640596,2.7779010240782505,-0.00954726442860987,-0.1111505380701124
